Threshold,Difficulty,Pool,Average Total Successes,Average on Success,Success Rate,Failure Rate,Botch Rate
0,3,1,0.80,1.00,80.05,9.97,9.98
0,3,2,1.44,1.80,79.92,17.04,3.04
0,3,3,2.13,2.32,92.00,7.29,0.71
0,3,4,2.82,3.01,93.75,6.10,0.15
0,3,5,3.51,3.63,96.82,3.15,0.03
0,3,6,4.21,4.31,97.76,2.24,0.01
0,3,7,4.91,4.97,98.74,1.26,0.00
0,3,8,5.61,5.66,99.15,0.85,0.00
0,3,9,6.30,6.33,99.47,0.53,0.00
0,3,10,7.00,7.02,99.66,0.34,0.00
0,4,1,0.70,1.00,70.00,19.99,10.01
0,4,2,1.26,1.64,77.01,17.98,5.01
0,4,3,1.85,2.13,86.79,11.31,1.90
0,4,4,2.43,2.68,90.92,8.42,0.66
0,4,5,3.02,3.22,94.07,5.73,0.21
0,4,6,3.62,3.77,95.93,4.00,0.06
0,4,7,4.21,4.33,97.24,2.74,0.02
0,4,8,4.81,4.90,98.10,1.89,0.01
0,4,9,5.41,5.48,98.66,1.34,0.00
0,4,10,6.01,6.06,99.08,0.92,0.00
0,5,1,0.60,1.00,60.09,29.93,9.98
0,5,2,1.08,1.50,71.95,21.05,7.00
0,5,3,1.57,1.93,80.96,15.33,3.70
0,5,4,2.05,2.38,86.36,11.90,1.74
0,5,5,2.54,2.82,90.15,9.07,0.78
0,5,6,3.03,3.27,92.72,6.95,0.34
0,5,7,3.52,3.72,94.60,5.26,0.14
0,5,8,4.02,4.19,95.96,3.99,0.06
0,5,9,4.51,4.66,96.96,3.02,0.02
0,5,10,5.01,5.13,97.71,2.28,0.01
0,6,1,0.50,1.00,49.96,40.05,9.99
0,6,2,0.90,1.38,65.04,25.95,9.02
0,6,3,1.29,1.74,74.03,19.88,6.10
0,6,4,1.68,2.10,79.98,16.31,3.71
0,6,5,2.06,2.45,84.36,13.53,2.11
0,6,6,2.46,2.80,87.65,11.20,1.15
0,6,7,2.85,3.16,90.09,9.31,0.61
0,6,8,3.24,3.52,92.06,7.61,0.33
0,6,9,3.63,3.88,93.60,6.23,0.17
0,6,10,4.03,4.25,94.77,5.14,0.09
0,7,1,0.40,1.00,39.93,50.09,9.98
0,7,2,0.72,1.29,56.10,32.94,10.95
0,7,3,1.02,1.56,65.18,25.69,9.13
0,7,4,1.31,1.84,71.60,21.70,6.70
0,7,5,1.60,2.11,76.22,19.11,4.67
0,7,6,1.89,2.37,79.91,16.98,3.11
0,7,7,2.19,2.64,82.91,15.07,2.02
0,7,8,2.48,2.90,85.38,13.34,1.28
0,7,9,2.77,3.17,87.38,11.80,0.82
0,7,10,3.06,3.44,89.06,10.43,0.51
0,8,1,0.30,1.00,30.02,59.96,10.02
0,8,2,0.54,1.20,45.01,41.93,13.07
0,8,3,0.76,1.40,53.98,33.30,12.73
0,8,4,0.96,1.59,60.17,28.73,11.09
0,8,5,1.16,1.79,64.98,26.03,8.99
0,8,6,1.36,1.98,68.59,24.27,7.14
0,8,7,1.55,2.16,71.79,22.77,5.44
0,8,8,1.75,2.35,74.43,21.47,4.10
0,8,9,1.94,2.53,76.82,20.18,3.00
0,8,10,2.14,2.71,78.81,18.95,2.24
0,9,1,0.20,1.00,20.00,70.02,9.98
0,9,2,0.36,1.12,31.98,52.99,15.04
0,9,3,0.50,1.25,39.82,43.27,16.91
0,9,4,0.62,1.38,45.25,37.75,17.00
0,9,5,0.74,1.50,49.33,34.69,15.98
0,9,6,0.85,1.62,52.66,32.82,14.52
0,9,7,0.96,1.73,55.43,31.90,12.67
0,9,8,1.07,1.85,57.74,31.24,11.02
0,9,9,1.17,1.96,59.73,30.85,9.42
0,9,10,1.27,2.07,61.48,30.60,7.92
0,10,1,0.10,1.00,9.94,80.07,9.99
0,10,2,0.18,1.06,16.93,66.09,16.98
0,10,3,0.25,1.12,21.97,56.31,21.72
0,10,4,0.30,1.18,25.63,49.72,24.65
0,10,5,0.35,1.24,28.35,45.36,26.28
0,10,6,0.39,1.29,30.49,42.60,26.91
0,10,7,0.43,1.35,32.10,41.08,26.83
0,10,8,0.47,1.40,33.39,40.35,26.26
0,10,9,0.50,1.46,34.47,40.20,25.32
0,10,10,0.53,1.51,35.38,40.45,24.17
1,3,1,0.00,NaN,0.00,90.01,9.99
1,3,2,0.64,1.00,63.89,17.05,19.06
1,3,3,1.21,1.73,70.33,21.74,7.93
1,3,4,1.88,2.19,85.77,11.85,2.39
1,3,5,2.55,2.84,89.74,9.63,0.63
1,3,6,3.23,3.43,94.29,5.56,0.15
1,3,7,3.92,4.08,96.14,3.82,0.04
1,3,8,4.61,4.72,97.72,2.27,0.01
1,3,9,5.31,5.39,98.50,1.49,0.00
1,3,10,6.01,6.06,99.07,0.93,0.00
1,4,1,0.00,NaN,0.00,90.01,9.99
1,4,2,0.49,1.00,48.97,32.05,18.98
1,4,3,0.98,1.54,63.79,23.77,12.43
1,4,4,1.52,1.98,76.95,17.11,5.95
1,4,5,2.08,2.48,84.15,13.35,2.49
1,4,6,2.65,2.97,89.29,9.75,0.96
1,4,7,3.24,3.50,92.69,6.98,0.33
1,4,8,3.83,4.03,94.92,4.96,0.12
1,4,9,4.42,4.58,96.48,3.48,0.04
1,4,10,5.01,5.14,97.54,2.45,0.01
1,5,1,0.00,NaN,0.00,89.99,10.01
1,5,2,0.36,1.00,35.94,44.99,19.08
1,5,3,0.76,1.40,54.03,29.62,16.34
1,5,4,1.19,1.77,66.94,22.42,10.64
1,5,5,1.64,2.16,75.85,18.15,6.00
1,5,6,2.11,2.56,82.22,14.64,3.14
1,5,7,2.58,2.98,86.67,11.76,1.57
1,5,8,3.06,3.40,90.09,9.17,0.74
1,5,9,3.55,3.83,92.48,7.18,0.34
1,5,10,4.03,4.28,94.31,5.53,0.16
1,6,1,0.00,NaN,0.00,89.98,10.02
1,6,2,0.25,1.00,25.04,56.02,18.95
1,6,3,0.55,1.29,42.56,37.87,19.57
1,6,4,0.88,1.59,55.26,28.83,15.91
1,6,5,1.22,1.89,64.75,23.94,11.31
1,6,6,1.58,2.19,72.02,20.53,7.45
1,6,7,1.95,2.51,77.58,17.80,4.62
1,6,8,2.32,2.83,81.90,15.30,2.81
1,6,9,2.70,3.16,85.30,13.06,1.65
1,6,10,3.08,3.49,88.08,10.98,0.94
1,7,1,0.00,NaN,0.00,90.03,9.97
1,7,2,0.16,1.00,16.05,64.96,18.99
1,7,3,0.37,1.21,30.44,47.22,22.34
1,7,4,0.60,1.43,41.94,36.76,21.31
1,7,5,0.84,1.65,51.12,30.78,18.10
1,7,6,1.10,1.87,58.47,27.28,14.25
1,7,7,1.36,2.10,64.54,24.74,10.73
1,7,8,1.62,2.34,69.54,22.69,7.77
1,7,9,1.90,2.57,73.84,20.67,5.49
1,7,10,2.17,2.81,77.36,18.88,3.76
1,8,1,0.00,NaN,0.00,90.01,9.99
1,8,2,0.09,1.00,8.95,71.95,19.10
1,8,3,0.22,1.14,18.89,56.65,24.46
1,8,4,0.36,1.29,27.75,45.95,26.30
1,8,5,0.51,1.44,35.46,38.94,25.61
1,8,6,0.67,1.60,42.04,34.68,23.28
1,8,7,0.83,1.75,47.66,31.97,20.37
1,8,8,1.00,1.91,52.60,30.29,17.11
1,8,9,1.18,2.07,56.91,29.02,14.08
1,8,10,1.35,2.22,60.65,28.02,11.33
1,9,1,0.00,NaN,0.00,89.94,10.06
1,9,2,0.04,1.00,4.02,76.97,19.01
1,9,3,0.10,1.09,9.21,64.90,25.89
1,9,4,0.17,1.18,14.47,55.13,30.40
1,9,5,0.25,1.27,19.45,47.70,32.85
1,9,6,0.33,1.36,23.91,42.46,33.64
1,9,7,0.41,1.46,28.07,39.04,32.89
1,9,8,0.49,1.54,31.64,36.98,31.38
1,9,9,0.57,1.64,34.92,35.80,29.28
1,9,10,0.66,1.73,38.04,35.30,26.66
1,10,1,0.00,NaN,0.00,90.01,9.99
1,10,2,0.01,1.00,1.01,80.07,18.92
1,10,3,0.03,1.04,2.51,70.69,26.80
1,10,4,0.05,1.08,4.20,62.50,33.30
1,10,5,0.07,1.13,5.92,55.45,38.64
1,10,6,0.09,1.17,7.68,49.59,42.73
1,10,7,0.11,1.21,9.32,44.98,45.70
1,10,8,0.13,1.25,10.76,41.45,47.78
1,10,9,0.16,1.29,12.29,38.84,48.87
1,10,10,0.18,1.33,13.51,37.01,49.48
2,3,1,0.00,NaN,0.00,89.94,10.06
2,3,2,0.00,NaN,0.00,80.96,19.04
2,3,3,0.51,1.00,51.19,21.61,27.20
2,3,4,1.02,1.67,61.40,24.68,13.92
2,3,5,1.65,2.09,78.82,16.06,5.12
2,3,6,2.29,2.69,84.96,13.43,1.61
2,3,7,2.96,3.25,91.13,8.44,0.43
2,3,8,3.63,3.86,94.00,5.88,0.12
2,3,9,4.32,4.49,96.26,3.71,0.03
2,3,10,5.01,5.14,97.55,2.44,0.01
2,4,1,0.00,NaN,0.00,89.99,10.01
2,4,2,0.00,NaN,0.00,80.97,19.03
2,4,3,0.34,1.00,34.29,38.61,27.10
2,4,4,0.76,1.47,51.54,27.81,20.64
2,4,5,1.24,1.87,66.54,21.66,11.79
2,4,6,1.76,2.31,76.27,18.00,5.73
2,4,7,2.31,2.77,83.35,14.10,2.55
2,4,8,2.88,3.26,88.31,10.66,1.03
2,4,9,3.45,3.76,91.83,7.76,0.40
2,4,10,4.04,4.29,94.19,5.65,0.16
2,5,1,0.00,NaN,0.00,89.99,10.01
2,5,2,0.00,NaN,0.00,80.97,19.03
2,5,3,0.21,1.00,21.49,51.36,27.15
2,5,4,0.52,1.33,38.93,35.35,25.72
2,5,5,0.88,1.66,53.13,27.53,19.34
2,5,6,1.29,2.00,64.22,23.18,12.60
2,5,7,1.71,2.36,72.62,19.90,7.49
2,5,8,2.16,2.73,79.07,16.77,4.16
2,5,9,2.62,3.12,83.93,13.88,2.19
2,5,10,3.09,3.53,87.66,11.23,1.11
2,6,1,0.00,NaN,0.00,90.02,9.98
2,6,2,0.00,NaN,0.00,81.05,18.95
2,6,3,0.12,1.00,12.49,60.44,27.07
2,6,4,0.32,1.24,26.18,44.41,29.41
2,6,5,0.58,1.48,38.80,34.66,26.54
2,6,6,0.86,1.74,49.52,29.23,21.24
2,6,7,1.17,2.01,58.39,25.94,15.67
2,6,8,1.50,2.28,65.73,23.38,10.89
2,6,9,1.84,2.57,71.77,21.05,7.17
2,6,10,2.20,2.86,76.76,18.66,4.57
2,7,1,0.00,NaN,0.00,89.98,10.02
2,7,2,0.00,NaN,0.00,80.98,19.02
2,7,3,0.06,1.00,6.43,66.55,27.02
2,7,4,0.18,1.16,15.38,52.81,31.81
2,7,5,0.33,1.34,24.76,42.63,32.61
2,7,6,0.51,1.52,33.47,36.13,30.41
2,7,7,0.71,1.71,41.55,32.08,26.37
2,7,8,0.93,1.91,48.72,29.65,21.63
2,7,9,1.16,2.11,54.85,28.08,17.07
2,7,10,1.40,2.31,60.40,26.54,13.06
2,8,1,0.00,NaN,0.00,89.99,10.01
2,8,2,0.00,NaN,0.00,80.99,19.01
2,8,3,0.03,1.00,2.72,70.24,27.04
2,8,4,0.08,1.11,7.33,59.38,33.29
2,8,5,0.16,1.23,12.80,50.12,37.07
2,8,6,0.25,1.35,18.58,43.23,38.18
2,8,7,0.36,1.47,24.24,38.32,37.45
2,8,8,0.48,1.60,29.71,35.23,35.06
2,8,9,0.61,1.73,35.00,33.39,31.61
2,8,10,0.74,1.87,39.70,32.48,27.81
2,9,1,0.00,NaN,0.00,89.97,10.03
2,9,2,0.00,NaN,0.00,81.07,18.93
2,9,3,0.01,1.00,0.80,72.06,27.15
2,9,4,0.03,1.07,2.39,63.62,33.99
2,9,5,0.05,1.14,4.63,55.79,39.58
2,9,6,0.09,1.21,7.15,49.03,43.82
2,9,7,0.13,1.28,9.96,43.71,46.32
2,9,8,0.17,1.35,12.80,39.67,47.53
2,9,9,0.22,1.43,15.67,36.81,47.52
2,9,10,0.28,1.50,18.47,35.00,46.53
2,10,1,0.00,NaN,0.00,90.00,10.00
2,10,2,0.00,NaN,0.00,80.98,19.02
2,10,3,0.00,1.00,0.10,72.85,27.05
2,10,4,0.00,1.03,0.33,65.30,34.37
2,10,5,0.01,1.06,0.69,58.54,40.77
2,10,6,0.01,1.09,1.14,52.50,46.36
2,10,7,0.02,1.12,1.71,47.02,51.27
2,10,8,0.03,1.16,2.31,42.37,55.32
2,10,9,0.04,1.19,2.97,38.30,58.73
2,10,10,0.04,1.22,3.63,35.12,61.25
3,3,1,0.00,NaN,0.00,90.02,9.98
3,3,2,0.00,NaN,0.00,80.98,19.02
3,3,3,0.00,NaN,0.00,72.88,27.12
3,3,4,0.41,1.00,40.92,24.62,34.46
3,3,5,0.86,1.62,53.26,26.25,20.49
3,3,6,1.44,2.00,71.66,19.58,8.76
3,3,7,2.05,2.57,79.73,17.13,3.14
3,3,8,2.70,3.09,87.30,11.71,0.99
